car_brand,car_model,mileage_km,engine_size_cc,transmission,fuel_type,steering_type,drive_train,no_of_seats,no_of_doors,body_type,Power Steering,Air Conditioner,Navigation,Air Bag,Anti-Lock Brake System,Fog Lights,Power Windows,Alloy Wheels,year,price(Ksh)
AUDI,TT COUPE,56000.0,2000.0,Automatic Transmission,Petrol,RHD,4WD,4 Seats,3 Doors,coupe,1,1,0,1,0,0,1,1,2015,3407249.0
VOLKSWAGEN,GOLF,48000.0,1200.0,Automatic Transmission,Petrol,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2018,2390153.0
KIA,MOHAVE,37000.0,2959.0,Automatic Transmission,Diesel,LHD,4WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2022,6545952.0
BMW,i3,51000.0,900.0,Automatic Transmission,Hybrid,RHD,Other,4 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2016,2360003.0
GENESIS,G80,120000.0,2497.0,Automatic Transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020,5564201.0
NISSAN,FAIRLADY Z,1000.0,3000.0,Manual Transmission,Petrol,RHD,Other,2 Seats,3 Doors,coupe,1,1,0,1,0,0,1,1,2023,9771226.0
MERCEDES,E CLASS,41000.0,1991.0,Automatic Transmission,Petrol,LHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019,4562663.0
LEXUS,LS,32000.0,3500.0,Automatic Transmission,Petrol,RHD,Other,4 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2018,8250356.0
BMW,1 SERIES,27000.0,1998.0,Automatic Transmission,Petrol,LHD,4WD,5 Seats,4 Doors,hatchback,1,1,0,1,0,0,1,1,2021,5111169.0
LAND,ROVER RANGE ROVER SPORT HSE,17000.0,3000.0,Automatic Transmission,Diesel,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2019,4883891.0
HONDA,CIVIC,1000.0,2000.0,Manual Transmission,Petrol,RHD,Other,4 Seats,5 Doors,sedan,1,1,0,1,0,0,1,1,2023,7977124.0
TOYOTA,PRIUS,52000.0,1800.0,Automatic Transmission,Hybrid,RHD,2WD,5 Seats,5 Doors,hatchback,0,1,0,1,0,0,0,0,2016,2317134.0
HONDA,CIVIC,37000.0,1500.0,Automatic Transmission,Petrol,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,0,2017,2918245.0
TOYOTA,HARRIER 2.5Z PHEV 4WD,2000.0,2500.0,Automatic Transmission,Electric/Other,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2023,4883891.0
